id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
223	pakistan	-0.0077	0.371	3	115	110598	205	2497	311.3917	2020.8146	12.1805	1.519
224	palestine	-0.0209	0.5199	3	108	17817	16	38	7.2237	2021.375	2.375	0.4515
229	peru	0.5271	-0.0002	4	116	38747	97	541	91.7527	2021.4742	5.5773	0.9459
231	philippines	0.0765	-0.2558	1	110	16082	85	377	38.8231	2020.5176	4.4353	0.4567
232	poland	-0.1719	-0.247	1	117	173669	295	2174	245.5397	2020.1525	7.3695	0.8323
233	portugal	0.1342	-0.1614	7	118	206397	302	2893	373.3155	2020.3907	9.5795	1.2361
240	qatar	0.0673	0.7178	3	106	26136	42	587	50.2153	2020.4048	13.9762	1.1956
246	romania	-0.125	-0.3595	1	106	30464	106	863	110.6559	2020.0755	8.1415	1.0439
247	russian federation	-0.1054	-0.8428	1	115	68913	456	1741	210.0681	2020.4452	3.818	0.4607
250	saudi arabia	0.2843	0.2795	3	115	76702	180	2531	317.9817	2021.3667	14.0611	1.7666
252	school	1.0583	0.4795	5	99	8784	8	175	29.3902	2017.75	21.875	3.6738
257	serbia	0.0196	-0.5042	1	111	17819	55	351	45.6433	2020.2545	6.3818	0.8299
261	singapore	-0.5274	0.7909	3	110	46982	115	2214	184.8864	2019.7391	19.2522	1.6077
262	slovakia	0.0951	-0.5219	1	111	17878	101	863	88.2064	2020.7129	8.5446	0.8733
263	slovenia	-0.3121	-0.1471	1	110	24236	67	537	52.4595	2019.5821	8.0149	0.783
267	south africa	-0.6018	-0.0393	2	117	125486	289	1784	228.7155	2020.3253	6.173	0.7914
268	south korea	-0.3332	0.3249	3	115	79136	253	2825	278.0614	2019.8419	11.166	1.0991
270	spain	0.6908	-0.0449	4	119	1234647	1006	12959	1272.9386	2019.9702	12.8817	1.2653
272	sri lanka	-0.4191	0.3682	6	109	23078	43	231	33.5759	2020.8837	5.3721	0.7808
278	sweden	0.1173	0.7958	6	119	571250	353	5462	577.738	2019.949	15.4731	1.6367
279	switzerland	0.6871	-0.2326	4	117	463178	276	6340	630.2292	2020.2283	22.971	2.2834
283	taiwan	-0.0293	0.608	3	117	165735	257	3506	316.3794	2019.6848	13.642	1.231
284	tanzania	-0.9164	0.1411	2	104	9667	47	447	43.0854	2020.2979	9.5106	0.9167
286	thailand	-1.0563	0.0614	2	115	64926	204	1030	128.0821	2020.5049	5.049	0.6279
292	trinidad and tobago	-0.7395	0.6615	2	90	2939	5	25	1.5554	2019.4	5	0.3111
293	tunisia	0.7033	0.5067	5	111	42384	63	825	77.0568	2020.381	13.0952	1.2231
294	turkey	-0.0598	-0.0825	1	118	172249	305	2449	269.0452	2020.577	8.0295	0.8821
295	uganda	-0.7319	0.4978	2	92	2812	22	227	18.9197	2019.8182	10.3182	0.86
296	ukraine	-0.2929	-0.4381	1	100	4650	137	410	51.7057	2021.4964	2.9927	0.3774
297	united arab emirates	0.2118	0.4769	6	118	238648	219	2873	330.2418	2020.5662	13.1187	1.508
298	united kingdom	0.0202	0.1206	2	120	1359487	1679	29786	2883.153	2019.8273	17.7403	1.7172
299	united states	-0.2919	-0.0207	2	119	1976143	4019	63696	5432.7302	2019.4541	15.8487	1.3518
313	uruguay	0.9834	-0.9057	4	54	682	15	51	5.6211	2020.2	3.4	0.3747
314	uzbekistan	-0.4722	-0.6704	1	86	3779	34	90	54.7739	2022.4706	2.6471	1.611
316	venezuela	1.1388	-0.1821	4	87	2278	28	121	8.4884	2018.8929	4.3214	0.3032
317	viet nam	-0.3784	0.176	2	115	70891	129	841	151.8014	2021.6589	6.5194	1.1768
321	yemen	0.4318	0.6658	3	92	5292	7	96	10.3728	2021.8571	13.7143	1.4818
324	zimbabwe	-0.7629	-0.1441	2	98	3463	25	110	15.0983	2021.36	4.4	0.6039
